Code,Name,Category,Subcategory,Brand,UOM,Qty,Reorder,Cost,Price,Location
"ABR-2,""Cutting disc 4.5"""" × 1.0mm thin metal (100 pack)"",Repair Materials,Abrasives,,pack,31,6,1126,1634,Abrasives Store"
"ABR-20,""Wire wheel cup 5"""" twist"",Repair Materials,Abrasives,,pcs,24,6,7089,10279,Abrasives Store"
"ABR-20,""Wire wheel cup 5"""" twist"",Repair Materials,Abrasives,,pcs,24,6,7089,10279,Abrasives Store"
"ABR-21,""Wire wheel cup 6"""" knot"",Repair Materials,Abrasives,,pcs,43,6,7420,10759,Abrasives Store"
"ABR-21,""Wire wheel cup 6"""" knot"",Repair Materials,Abrasives,,pcs,43,6,7420,10759,Abrasives Store"
"ABR-22,""Wire wheel disc 4.5"""""",Repair Materials,Abrasives,,pcs,3,6,7751,11240,Abrasives Store"
"ABR-22,""Wire wheel disc 4.5"""""",Repair Materials,Abrasives,,pcs,3,6,7751,11240,Abrasives Store"
ABR-23,Wire brush hand 4-row,Repair Materials,Abrasives,,pcs,22,6,8083,11720,Abrasives Store
ABR-23,Wire brush hand 4-row,Repair Materials,Abrasives,,pcs,22,6,8083,11720,Abrasives Store
ABR-24,Wire brush hand 6-row,Repair Materials,Abrasives,,pcs,41,6,8414,12201,Abrasives Store
ABR-24,Wire brush hand 6-row,Repair Materials,Abrasives,,pcs,41,6,8414,12201,Abrasives Store
"ABR-25,""Wire brush rotary 1/4"""" shank"",Repair Materials,Abrasives,,pcs,60,6,8745,12680,Abrasives Store"
"ABR-25,""Wire brush rotary 1/4"""" shank"",Repair Materials,Abrasives,,pcs,60,6,8745,12680,Abrasives Store"
ABR-26,Sanding belt 75×533 40 grit,Repair Materials,Abrasives,,pcs,21,6,9076,13161,Abrasives Store
ABR-26,Sanding belt 75×533 40 grit,Repair Materials,Abrasives,,pcs,21,6,9076,13161,Abrasives Store
ABR-27,Sanding belt 75×533 60 grit,Repair Materials,Abrasives,,pcs,40,6,9408,13641,Abrasives Store
ABR-27,Sanding belt 75×533 60 grit,Repair Materials,Abrasives,,pcs,40,6,9408,13641,Abrasives Store
ABR-28,Sanding belt 75×533 80 grit,Repair Materials,Abrasives,,pcs,59,6,9739,14122,Abrasives Store
ABR-28,Sanding belt 75×533 80 grit,Repair Materials,Abrasives,,pcs,59,6,9739,14122,Abrasives Store
ABR-29,Sanding belt 75×533 120 grit,Repair Materials,Abrasives,,pcs,20,6,10070,14602,Abrasives Store
ABR-29,Sanding belt 75×533 120 grit,Repair Materials,Abrasives,,pcs,20,6,10070,14602,Abrasives Store
"ABR-3,""Cutting disc 7"""" × 1.6mm metal (50 pack)"",Repair Materials,Abrasives,,pack,50,6,1458,2113,Abrasives Store"
"ABR-3,""Cutting disc 7"""" × 1.6mm metal (50 pack)"",Repair Materials,Abrasives,,pack,50,6,1458,2113,Abrasives Store"
ABR-30,Sanding belt 100×610 40 grit,Repair Materials,Abrasives,,pcs,39,6,10401,15082,Abrasives Store
ABR-30,Sanding belt 100×610 40 grit,Repair Materials,Abrasives,,pcs,39,6,10401,15082,Abrasives Store
ABR-31,Sanding belt 100×610 60 grit,Repair Materials,Abrasives,,pcs,58,6,10733,15562,Abrasives Store
ABR-31,Sanding belt 100×610 60 grit,Repair Materials,Abrasives,,pcs,58,6,10733,15562,Abrasives Store
ABR-32,Sanding belt 100×610 80 grit,Repair Materials,Abrasives,,pcs,19,6,11064,16043,Abrasives Store
ABR-32,Sanding belt 100×610 80 grit,Repair Materials,Abrasives,,pcs,19,6,11064,16043,Abrasives Store
ABR-33,Sanding belt 100×610 120 grit,Repair Materials,Abrasives,,pcs,38,6,11395,16523,Abrasives Store
ABR-33,Sanding belt 100×610 120 grit,Repair Materials,Abrasives,,pcs,38,6,11395,16523,Abrasives Store
ABR-34,Sanding disc orbital 125mm 80g (50 pack),Repair Materials,Abrasives,,pack,56,6,11726,17002,Abrasives Store
ABR-34,Sanding disc orbital 125mm 80g (50 pack),Repair Materials,Abrasives,,pack,56,6,11726,17002,Abrasives Store
ABR-35,Sanding disc orbital 125mm 120g (50 pack),Repair Materials,Abrasives,,pack,17,6,12058,17483,Abrasives Store
ABR-35,Sanding disc orbital 125mm 120g (50 pack),Repair Materials,Abrasives,,pack,17,6,12058,17483,Abrasives Store
ABR-36,Sanding disc orbital 125mm 240g (50 pack),Repair Materials,Abrasives,,pack,36,6,12389,17963,Abrasives Store
ABR-36,Sanding disc orbital 125mm 240g (50 pack),Repair Materials,Abrasives,,pack,36,6,12389,17963,Abrasives Store
ABR-37,Sandpaper sheet 60 grit (50 pack),Repair Materials,Abrasives,,pack,55,6,12720,18444,Abrasives Store
ABR-37,Sandpaper sheet 60 grit (50 pack),Repair Materials,Abrasives,,pack,55,6,12720,18444,Abrasives Store
ABR-38,Sandpaper sheet 80 grit (50 pack),Repair Materials,Abrasives,,pack,16,6,13051,18924,Abrasives Store
ABR-38,Sandpaper sheet 80 grit (50 pack),Repair Materials,Abrasives,,pack,16,6,13051,18924,Abrasives Store
ABR-39,Sandpaper sheet 120 grit (50 pack),Repair Materials,Abrasives,,pack,35,6,13383,19405,Abrasives Store
ABR-39,Sandpaper sheet 120 grit (50 pack),Repair Materials,Abrasives,,pack,35,6,13383,19405,Abrasives Store
"ABR-4,""Cutting disc 9"""" × 2.5mm metal (25 pack)"",Repair Materials,Abrasives,,pack,11,6,1789,2594,Abrasives Store"
"ABR-4,""Cutting disc 9"""" × 2.5mm metal (25 pack)"",Repair Materials,Abrasives,,pack,11,6,1789,2594,Abrasives Store"
ABR-40,Sandpaper sheet 180 grit (50 pack),Repair Materials,Abrasives,,pack,54,6,13714,19884,Abrasives Store
ABR-40,Sandpaper sheet 180 grit (50 pack),Repair Materials,Abrasives,,pack,54,6,13714,19884,Abrasives Store
ABR-41,Sandpaper sheet 240 grit (50 pack),Repair Materials,Abrasives,,pack,15,6,14045,20365,Abrasives Store
ABR-41,Sandpaper sheet 240 grit (50 pack),Repair Materials,Abrasives,,pack,15,6,14045,20365,Abrasives Store
ABR-42,Sandpaper sheet 400 grit (50 pack),Repair Materials,Abrasives,,pack,34,6,14376,20845,Abrasives Store
ABR-42,Sandpaper sheet 400 grit (50 pack),Repair Materials,Abrasives,,pack,34,6,14376,20845,Abrasives Store
ABR-43,Sandpaper sheet 600 grit (50 pack),Repair Materials,Abrasives,,pack,53,6,14708,21326,Abrasives Store
ABR-43,Sandpaper sheet 600 grit (50 pack),Repair Materials,Abrasives,,pack,53,6,14708,21326,Abrasives Store
ABR-44,Sandpaper sheet 800 grit (50 pack),Repair Materials,Abrasives,,pack,14,6,15039,21807,Abrasives Store
ABR-44,Sandpaper sheet 800 grit (50 pack),Repair Materials,Abrasives,,pack,14,6,15039,21807,Abrasives Store
ABR-45,Sandpaper sheet 1200 grit (50 pack),Repair Materials,Abrasives,,pack,33,6,15370,22287,Abrasives Store
ABR-45,Sandpaper sheet 1200 grit (50 pack),Repair Materials,Abrasives,,pack,33,6,15370,22287,Abrasives Store
ABR-46,Sandpaper sheet 2000 grit (50 pack),Repair Materials,Abrasives,,pack,52,6,15701,22767,Abrasives Store
ABR-46,Sandpaper sheet 2000 grit (50 pack),Repair Materials,Abrasives,,pack,52,6,15701,22767,Abrasives Store
ABR-47,Wet/dry sandpaper roll 400g,Repair Materials,Abrasives,,pcs,12,6,16033,23247,Abrasives Store
ABR-47,Wet/dry sandpaper roll 400g,Repair Materials,Abrasives,,pcs,12,6,16033,23247,Abrasives Store
ABR-48,Steel wool 0000 fine,Repair Materials,Abrasives,,pcs,31,6,16364,23728,Abrasives Store
ABR-48,Steel wool 0000 fine,Repair Materials,Abrasives,,pcs,31,6,16364,23728,Abrasives Store
ABR-49,Scotchbrite pad maroon (10 pack),Repair Materials,Abrasives,,pack,50,6,16695,24208,Abrasives Store
ABR-49,Scotchbrite pad maroon (10 pack),Repair Materials,Abrasives,,pack,50,6,16695,24208,Abrasives Store
"ABR-5,""Cutting disc 14"""" × 3.0mm chop saw (25 pack)"",Repair Materials,Abrasives,,pack,30,6,2120,3074,Abrasives Store"
"ABR-5,""Cutting disc 14"""" × 3.0mm chop saw (25 pack)"",Repair Materials,Abrasives,,pack,30,6,2120,3074,Abrasives Store"
ABR-50,Scotchbrite pad grey (10 pack),Repair Materials,Abrasives,,pack,11,6,17026,24689,Abrasives Store
ABR-50,Scotchbrite pad grey (10 pack),Repair Materials,Abrasives,,pack,11,6,17026,24689,Abrasives Store
ABR-51,Polishing compound brown bar,Repair Materials,Abrasives,,pcs,30,6,17358,25168,Abrasives Store
ABR-51,Polishing compound brown bar,Repair Materials,Abrasives,,pcs,30,6,17358,25168,Abrasives Store
ABR-52,Polishing compound white bar,Repair Materials,Abrasives,,pcs,49,6,17689,25649,Abrasives Store
ABR-52,Polishing compound white bar,Repair Materials,Abrasives,,pcs,49,6,17689,25649,Abrasives Store
ABR-53,Polishing compound green bar,Repair Materials,Abrasives,,pcs,10,6,18020,26129,Abrasives Store
ABR-53,Polishing compound green bar,Repair Materials,Abrasives,,pcs,10,6,18020,26129,Abrasives Store
"ABR-54,""Buffing wheel cotton 6"""""",Repair Materials,Abrasives,,pcs,29,6,18351,26610,Abrasives Store"
"ABR-54,""Buffing wheel cotton 6"""""",Repair Materials,Abrasives,,pcs,29,6,18351,26610,Abrasives Store"
"ABR-55,""Buffing wheel cotton 8"""""",Repair Materials,Abrasives,,pcs,48,6,18683,27090,Abrasives Store"
"ABR-55,""Buffing wheel cotton 8"""""",Repair Materials,Abrasives,,pcs,48,6,18683,27090,Abrasives Store"
"ABR-56,""Buffing wheel sisal 8"""""",Repair Materials,Abrasives,,pcs,9,6,19014,27571,Abrasives Store"
"ABR-56,""Buffing wheel sisal 8"""""",Repair Materials,Abrasives,,pcs,9,6,19014,27571,Abrasives Store"
ABR-57,Mounted stone set,Repair Materials,Abrasives,,pcs,28,6,19345,28050,Abrasives Store
ABR-57,Mounted stone set,Repair Materials,Abrasives,,pcs,28,6,19345,28050,Abrasives Store
ABR-58,Diamond burr set,Repair Materials,Abrasives,,pcs,47,6,19676,28531,Abrasives Store
ABR-58,Diamond burr set,Repair Materials,Abrasives,,pcs,47,6,19676,28531,Abrasives Store
ABR-59,Files needle set,Repair Materials,Abrasives,,pcs,8,6,20008,29011,Abrasives Store
ABR-59,Files needle set,Repair Materials,Abrasives,,pcs,8,6,20008,29011,Abrasives Store
"ABR-6,""Cutting disc 4.5"""" stainless (100 pack)"",Repair Materials,Abrasives,,pack,49,6,2451,3555,Abrasives Store"
"ABR-6,""Cutting disc 4.5"""" stainless (100 pack)"",Repair Materials,Abrasives,,pack,49,6,2451,3555,Abrasives Store"
"ABR-60,""Bench grinding wheel 8"""" 36g"",Repair Materials,Abrasives,,pcs,26,6,20339,29492,Abrasives Store"
"ABR-60,""Bench grinding wheel 8"""" 36g"",Repair Materials,Abrasives,,pcs,26,6,20339,29492,Abrasives Store"
"ABR-61,""Bench grinding wheel 8"""" 60g"",Repair Materials,Abrasives,,pcs,45,6,20670,29972,Abrasives Store"
"ABR-61,""Bench grinding wheel 8"""" 60g"",Repair Materials,Abrasives,,pcs,45,6,20670,29972,Abrasives Store"
"ABR-7,""Cutting disc 9"""" stainless (25 pack)"",Repair Materials,Abrasives,,pack,10,6,2783,4035,Abrasives Store"
"ABR-7,""Cutting disc 9"""" stainless (25 pack)"",Repair Materials,Abrasives,,pack,10,6,2783,4035,Abrasives Store"
"ABR-8,""Cutting disc 4.5"""" stone/masonry (50 pack)"",Repair Materials,Abrasives,,pack,29,6,3114,4514,Abrasives Store"
"ABR-8,""Cutting disc 4.5"""" stone/masonry (50 pack)"",Repair Materials,Abrasives,,pack,29,6,3114,4514,Abrasives Store"
"ABR-9,""Grinding disc 4.5"""" × 6mm (50 pack)"",Repair Materials,Abrasives,,pack,47,6,3445,4995,Abrasives Store"
"ABR-9,""Grinding disc 4.5"""" × 6mm (50 pack)"",Repair Materials,Abrasives,,pack,47,6,3445,4995,Abrasives Store"
"AC-CAR-12000-CAS,""Carrier 12,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,10,2,61972,89859,A/C Showroom"
"AC-CAR-12000-CAS,""Carrier 12,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,10,2,61972,89859,A/C Showroom"
"AC-CAR-12000-DCT,""Carrier 12,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,1,2,68611,99486,A/C Showroom"
"AC-CAR-12000-DCT,""Carrier 12,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,1,2,68611,99486,A/C Showroom"
"AC-CAR-12000-FLOOR,""Carrier 12,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,5,2,75252,109115,A/C Showroom"
"AC-CAR-12000-FLOOR,""Carrier 12,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,5,2,75252,109115,A/C Showroom"
"AC-CAR-12000-SPLIT,""Carrier 12,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,6,2,55332,80231,A/C Showroom"
"AC-CAR-12000-SPLIT,""Carrier 12,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,6,2,55332,80231,A/C Showroom"
"AC-CAR-12000-WIN,""Carrier 12,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,10,2,81892,118743,A/C Showroom"
"AC-CAR-12000-WIN,""Carrier 12,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,10,2,81892,118743,A/C Showroom"
"AC-CAR-18000-CAS,""Carrier 18,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,5,2,92958,134790,A/C Showroom"
"AC-CAR-18000-CAS,""Carrier 18,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,5,2,92958,134790,A/C Showroom"
"AC-CAR-18000-DCT,""Carrier 18,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,9,2,102918,149231,A/C Showroom"
"AC-CAR-18000-DCT,""Carrier 18,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,9,2,102918,149231,A/C Showroom"
"AC-CAR-18000-FLOOR,""Carrier 18,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,0,2,112877,163671,A/C Showroom"
"AC-CAR-18000-FLOOR,""Carrier 18,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,0,2,112877,163671,A/C Showroom"
"AC-CAR-18000-SPLIT,""Carrier 18,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,1,2,82998,120347,A/C Showroom"
"AC-CAR-18000-SPLIT,""Carrier 18,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,1,2,82998,120347,A/C Showroom"
"AC-CAR-18000-WIN,""Carrier 18,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,5,2,122837,178113,A/C Showroom"
"AC-CAR-18000-WIN,""Carrier 18,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,5,2,122837,178113,A/C Showroom"
"AC-CAR-24000-CAS,""Carrier 24,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,0,2,123943,179718,A/C Showroom"
"AC-CAR-24000-CAS,""Carrier 24,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,0,2,123943,179718,A/C Showroom"
"AC-CAR-24000-DCT,""Carrier 24,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,4,2,137224,198974,A/C Showroom"
"AC-CAR-24000-DCT,""Carrier 24,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,4,2,137224,198974,A/C Showroom"
"AC-CAR-24000-FLOOR,""Carrier 24,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,9,2,150503,218229,A/C Showroom"
"AC-CAR-24000-FLOOR,""Carrier 24,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,9,2,150503,218229,A/C Showroom"
"AC-CAR-24000-SPLIT,""Carrier 24,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,9,2,110664,160463,A/C Showroom"
"AC-CAR-24000-SPLIT,""Carrier 24,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,9,2,110664,160463,A/C Showroom"
"AC-CAR-24000-WIN,""Carrier 24,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,0,2,163783,237485,A/C Showroom"
"AC-CAR-24000-WIN,""Carrier 24,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,0,2,163783,237485,A/C Showroom"
"AC-CAR-30000-CAS,""Carrier 30,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,8,2,154930,224648,A/C Showroom"
"AC-CAR-30000-CAS,""Carrier 30,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,8,2,154930,224648,A/C Showroom"
"AC-CAR-30000-DCT,""Carrier 30,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,12,2,171529,248717,A/C Showroom"
"AC-CAR-30000-DCT,""Carrier 30,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,12,2,171529,248717,A/C Showroom"
"AC-CAR-30000-FLOOR,""Carrier 30,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,4,2,188129,272787,A/C Showroom"
"AC-CAR-30000-FLOOR,""Carrier 30,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,4,2,188129,272787,A/C Showroom"
"AC-CAR-30000-SPLIT,""Carrier 30,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,4,2,138330,200579,A/C Showroom"
"AC-CAR-30000-SPLIT,""Carrier 30,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,4,2,138330,200579,A/C Showroom"
"AC-CAR-30000-WIN,""Carrier 30,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,8,2,204728,296856,A/C Showroom"
"AC-CAR-30000-WIN,""Carrier 30,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,8,2,204728,296856,A/C Showroom"
"AC-CAR-36000-CAS,""Carrier 36,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,3,2,185916,269578,A/C Showroom"
"AC-CAR-36000-CAS,""Carrier 36,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,3,2,185916,269578,A/C Showroom"
"AC-CAR-36000-DCT,""Carrier 36,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,8,2,205835,298460,A/C Showroom"
"AC-CAR-36000-DCT,""Carrier 36,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,8,2,205835,298460,A/C Showroom"
"AC-CAR-36000-FLOOR,""Carrier 36,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,12,2,225755,327344,A/C Showroom"
"AC-CAR-36000-FLOOR,""Carrier 36,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,12,2,225755,327344,A/C Showroom"
"AC-CAR-36000-SPLIT,""Carrier 36,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,12,2,165996,240694,A/C Showroom"
"AC-CAR-36000-SPLIT,""Carrier 36,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,12,2,165996,240694,A/C Showroom"
"AC-CAR-36000-WIN,""Carrier 36,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,3,2,245674,356226,A/C Showroom"
"AC-CAR-36000-WIN,""Carrier 36,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,3,2,245674,356226,A/C Showroom"
"AC-CAR-48000-CAS,""Carrier 48,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,11,2,247888,359437,A/C Showroom"
"AC-CAR-48000-CAS,""Carrier 48,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,11,2,247888,359437,A/C Showroom"
"AC-CAR-48000-DCT,""Carrier 48,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,3,2,274447,397949,A/C Showroom"
"AC-CAR-48000-DCT,""Carrier 48,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,3,2,274447,397949,A/C Showroom"
"AC-CAR-48000-FLOOR,""Carrier 48,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,7,2,301006,436458,A/C Showroom"
"AC-CAR-48000-FLOOR,""Carrier 48,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,7,2,301006,436458,A/C Showroom"
"AC-CAR-48000-SPLIT,""Carrier 48,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,7,2,221328,320926,A/C Showroom"
"AC-CAR-48000-SPLIT,""Carrier 48,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,7,2,221328,320926,A/C Showroom"
"AC-CAR-48000-WIN,""Carrier 48,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,11,2,327565,474970,A/C Showroom"
"AC-CAR-48000-WIN,""Carrier 48,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,11,2,327565,474970,A/C Showroom"
"AC-CAR-60000-CAS,""Carrier 60,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,7,2,309859,449296,A/C Showroom"
"AC-CAR-60000-CAS,""Carrier 60,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,7,2,309859,449296,A/C Showroom"
"AC-CAR-60000-DCT,""Carrier 60,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,11,2,343058,497434,A/C Showroom"
"AC-CAR-60000-DCT,""Carrier 60,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,11,2,343058,497434,A/C Showroom"
"AC-CAR-60000-FLOOR,""Carrier 60,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,2,2,376258,545574,A/C Showroom"
"AC-CAR-60000-FLOOR,""Carrier 60,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,2,2,376258,545574,A/C Showroom"
"AC-CAR-60000-SPLIT,""Carrier 60,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,2,2,276660,401157,A/C Showroom"
"AC-CAR-60000-SPLIT,""Carrier 60,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,2,2,276660,401157,A/C Showroom"
"AC-CAR-60000-WIN,""Carrier 60,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,6,2,409457,593713,A/C Showroom"
"AC-CAR-60000-WIN,""Carrier 60,000 BTU Window A/C"",A/C,Window — Carrier,Carrier,pcs,6,2,409457,593713,A/C Showroom"
"AC-CAR-9000-CAS,""Carrier 9,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,2,2,46478,67393,A/C Showroom"
"AC-CAR-9000-CAS,""Carrier 9,000 BTU Cassette A/C"",A/C,Cassette — Carrier,Carrier,pcs,2,2,46478,67393,A/C Showroom"
"AC-CAR-9000-DCT,""Carrier 9,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,6,2,51459,74616,A/C Showroom"
"AC-CAR-9000-DCT,""Carrier 9,000 BTU Ducted A/C"",A/C,Ducted — Carrier,Carrier,pcs,6,2,51459,74616,A/C Showroom"
"AC-CAR-9000-FLOOR,""Carrier 9,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,10,2,56438,81836,A/C Showroom"
"AC-CAR-9000-FLOOR,""Carrier 9,000 BTU Floor-Standing A/C"",A/C,Floor-Standing — Carrier,Carrier,pcs,10,2,56438,81836,A/C Showroom"
"AC-CAR-9000-SPLIT,""Carrier 9,000 BTU Wall-Split A/C"",A/C,Wall-Split — Carrier,Carrier,pcs,11,2,41499,60174,A/C Showroom"
