Brand,Model,Fault Code,Fault Description,Probable Cause,Solution,solution 2,solution 3,solutio 4,solution 4
Perkins,400 Series,E1011,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,400 Series,E1012,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,Inspect the air filter; clean or replace if clogged. Check the air intake system for blockages or collapsed hoses. Test the air intake pressure sensor and wiring for faults; replace if defective. Ensure proper ventilation around the generator. Reset the fault on the control panel and restart.  to the Atlas Copco QES  or a technician if unresolved.[](s://slib//2231797/Atlas-Copco-U190-Pace-Kd-Wux.html?=50),SAE 15W-40) if low. Inspect for oil leaks in engine or lines. Test oil pressure sensor and wiring; replace if defective. Perform  oil pressure test to check for internal engine issues. Reset fault via ECU diagnostic tool and restart.
Perkins,400 Series,E1013,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,Ensure proper ventilation around the control panel; clear blocked vents. Check for excessive ambient heat. Test the control panel cooling fan (if equipped) and wiring; replace if faulty. Relocate the generator if ambient conditions are too hot. Reset the fault on the control panel and restart.  to the Atlas Copco QES  or a technician if unresolved.,Verify engine speed via ECU diagnostic tool; adjust governor to maintain nominal RPM. Inspect fuel system for over-fueling (e.g.,
Perkins,400 Series,E1014,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,Inspect the exhaust system for restrictions (e.g., blocked muffler). Verify the cooling system is functioning correctly. Test the exhaust temperature sensor and wiring for faults; replace if defective. Check for over-fueling or excessive load. Reset the fault on the control panel and restart. Consult the Atlas Copco QES  or a technician if unresolved.
Perkins,400 Series,E1015,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,Inspect the excitation circuit wiring for shorts, opens
Perkins,400 Series,E1016,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,Test the shutdown solenoid for operation; replace if defective. Inspect solenoid wiring for shorts, opens
Perkins,400 Series,E1017,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,400 Series,E1018,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,affecting cold starts.,opens,
Perkins,400 Series,E1019,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,ATS).,Check to make sure that the fuel supply is on and if on LP gas
Perkins,400 Series,E1020,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,Check the oil level; top up with the recommended oil if low. Inspect the oil cooling system for blockages or pump failure. Test the oil temperature sensor and wiring for faults; replace if defective. Ensure proper engine ventilation. Reset the fault on the control panel and restart.  to the Atlas Copco QEP  or a technician if unresolved.,Check for the same causes as overspeed 1200
Perkins,400 Series,E1021,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,Replace the fuel filter with a manufacturer-approved filter. Inspect fuel lines for additional blockages or contamination. Verify fuel pump operation. Prime the fuel system if needed. Reset the fault on the control panel and restart. Consult the Atlas Copco QEP  or a technician if unresolved.,Check and fill oil level as needed, check oil pressure and replace the low oil pressure switch if faulty, or perform an oil pressure test to verify internal engine issues.
Perkins,400 Series,E1022,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,Inspect alternator bearings for wear or lack of lubrication; lubricate or replace as needed. Ensure proper ventilation around the alternator. Test the bearing temperature sensor and wiring; replace if defective. Reduce the load if excessive. Reset the fault on the control panel and restart.  to the Atlas Copco QEP  or a technician if unresolved.,or quick overloading causing the engine to stall.
Perkins,400 Series,E1023,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,Check the air intake system for blockages; clean or replace the air filter. Ensure proper ventilation around the generator. Test the air intake temperature sensor and wiring; replace if defective. Reset the fault on the control panel and restart. Consult the Atlas Copco QAS  or a technician if unresolved.,or ignition coil problems.,,
Perkins,400 Series,E1024,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,Inspect the governor for proper operation; check mechanical or electronic components for faults. Verify governor wiring and control signals; repair or replace if defective. Test the fuel system for issues affecting speed (e.g., over-fueling). Reset the fault on the control panel and restart.  to the Atlas Copco QAS  or a technician if unresolved.
Perkins,400 Series,E1025,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,Test the crankshaft position sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens, or loose connections. Verify sensor alignment with the flywheel. Reset the fault on the control panel and restart. Consult the Atlas Copco QAS  or a technician if unresolved.
Perkins,400 Series,E1026,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,Test the camshaft position sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,400 Series,E1027,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,Check the coolant level in the radiator or reservoir; top up with the recommended coolant. Inspect the cooling system for leaks (hoses, radiator
Perkins,400 Series,E1028,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,400 Series,E1029,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,Inspect the fuel system for leaks
Perkins,400 Series,E1030,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,Verify the phase wiring connections at the alternator output and load terminals; correct any miswiring. Check the control panel settings (e.g.
Perkins,400 Series,E1031,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,Replace the oil filter with a manufacturer-approved filter. Check the oil system for contamination or blockages. Verify the oil pressure sensor readings with a  gauge if possible. Reset the fault on the control panel and restart.  to the Atlas Copco QAS  or a technician if unresolved.
Perkins,400 Series,E1032,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,400 Series,E1033,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,Test the fuel solenoid valve for operation; replace if defective. Inspect valve wiring for shorts, opens
Perkins,400 Series,E1034,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,affecting cold starts.
Perkins,400 Series,E1035,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,400 Series,E1036,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,Test the oil temperature sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,400 Series,E1037,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,Test the fuel pressure sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,400 Series,E1038,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,400 Series,E1039,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,Test the coolant level sensor for proper operation; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,400 Series,E1040,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,Test the exhaust temperature sensor with a multimeter for proper resistance; replace if faulty. Inspect sensor wiring for shorts, opens, or loose connections. Reset the fault on the control panel and restart.  to the Atlas Copco QEP  or a technician if unresolved.
Perkins,400 Series,E1041,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,Test the alternator temperature sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,400 Series,E1042,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,Check the fuel cooling system (if equipped) for blockages or pump failure. Inspect fuel lines for heat exposure or restrictions. Test the fuel temperature sensor and wiring for faults; replace if defective. Ensure proper ventilation around the fuel tank. Reset the fault on the control panel and restart. Consult the Atlas Copco QAS  or a technician if unresolved.,
Perkins,400 Series,E1043,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,Inspect alternator bearings for wear, noise
Perkins,400 Series,E1044,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,400 Series,E1045,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,Test the air intake pressure sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens, or loose connections. Verify air intake system pressure ly if possible. Reset the fault on the control panel and restart.  to the Atlas Copco QEP  or a technician if unresolved.
Perkins,400 Series,E1046,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,Test the fuel pump relay with a multimeter for proper operation; replace if defective. Inspect relay wiring for shorts, opens
Perkins,400 Series,E1047,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,Check the control panel display connections for loose or damaged wiring. Verify the display power supply is within specifications (e.g., 12V or 24V). Test the display unit; replace if defective. Reset the control panel and test operation.  to the Atlas Copco QEP  or a technician if unresolved.
Perkins,400 Series,E1048,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,Test the fuel injectors for proper operation using a diagnostic tool; replace any defective injectors. Inspect injector wiring for shorts, opens, or loose connections. Verify fuel pressure and quality. Reset the fault on the control panel and restart.  to the Atlas Copco QEP  or a technician if unresolved.,
Perkins,400 Series,E1049,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,Test the coolant pressure sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,400 Series,E1050,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,Test the alternator voltage sensor with a multimeter for proper operation; replace if defective. Inspect sensor wiring for shorts, opens, or loose connections. Verify alternator output voltage with an external meter. Reset the fault on the control panel and restart.  to the Atlas Copco QAS  or a technician if unresolved.,
Perkins,400 Series,E1051,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,Test the crankshaft or camshaft speed sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,400 Series,E1052,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,Test the fuel temperature sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens, or loose connections. Verify fuel temperature ly if possible. Reset the fault on the control panel and restart.  to the Atlas Copco QAS  or a technician if unresolved.
Perkins,400 Series,E1053,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,affecting external device communication.,
Perkins,400 Series,E1054,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,Test the oil pressure sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,400 Series,E1055,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,400 Series,E1056,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,Test the coolant temperature sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts
Perkins,400 Series,E1057,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,Test the fuel level sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts
Perkins,400 Series,E1058,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,Test the air intake temperature sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts
Perkins,400 Series,E1059,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,400 Series,E1060,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,Inspect the alternator cooling fan for operation; replace if defective. Check fan wiring for shorts, opens
Perkins,400 Series,E1061,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,Test the fuel injector circuit with a multimeter for proper operation; replace defective injectors or wiring. Inspect injector wiring for shorts
Perkins,400 Series,E1062,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,400 Series,E1063,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,Inspect the EGR valve for proper operation; clean or replace if stuck or defective. Test EGR valve wiring and control signals for faults; repair or replace as needed. Verify the EGR system for blockages. Reset the fault on the control panel and restart.  to the Atlas Copco QEP  or a technician if unresolved.,
Perkins,400 Series,E1064,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,Inspect the turbocharger for damage or restrictions; clean or repair as needed. Check the air intake system for blockages or leaks. Test the boost pressure sensor and wiring for faults; replace if defective. Verify intercooler operation. Reset the fault on the control panel and restart. Consult the Atlas Copco QAS  or a technician if unresolved.,
Perkins,400 Series,E1065,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,400 Series,E1066,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,Inspect the cooling fan for operation; replace if defective. Check fan wiring for shorts, opens
Perkins,400 Series,E1067,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,Check crankshaft and camshaft sensor connections for loose, damaged, or corroded wiring. Verify sensor alignment with the flywheel or camshaft gear. Test sensors with a multimeter for proper resistance; replace if defective. Inspect the timing gear for damage or misalignment. Reset the fault via the ECU diagnostic tool and restart. If the issue persists
Perkins,400 Series,E1068,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,Power cycle the ECU by turning the ignition key (T15) off for one minute, then restart. Check ECU power supply wiring for shorts or opens. If the fault persists
Perkins,400 Series,E1069,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,Measure battery voltage with a multimeter; charge if below 12.4V or replace if faulty. Inspect battery terminals and cables for corrosion or loose connections; clean or tighten. Test the charging system for proper output (13.5–14.5V). Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.[](s://d/document/316940304/Weichai-flash-code-for-euro-3-pdf),
Perkins,400 Series,E1070,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,Measure battery voltage; if above 28.8V for 24V systems, check the charging alternator for overcharging. Inspect the voltage regulator for faults; replace if defective. Check battery cables for shorts to power. Replace the battery if damaged. Reset the fault via the ECU diagnostic tool and restart. Consult the Weichai WP Series  or a technician if unresolved.[](s://d/document/316940304/Weichai-flash-code-for-euro-3-pdf)
Perkins,1100 Series,E1071,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,1100 Series,E1072,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,Remove and inspect the fuel pipeline and filter; clean or replace as needed. Check for contamination in the fuel system. Verify fuel pump operation. Prime the fuel system after cleaning. Reset the fault via the ECU diagnostic tool and restart. Consult the Weichai WP Series  or a technician if unresolved.[](s://dieselgeneratortech.wordpress/2019/07/06/common-faults-and-solutions-of-weichai-generator-engine/)
Perkins,1100 Series,E1073,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,Test the starter relay with a multimeter for proper operation; replace if defective. Inspect relay wiring for shorts
Perkins,1100 Series,E1074,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,Check the engine oil level using the dipstick; top up with the recommended oil (e.g.
Perkins,1100 Series,E1075,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,1100 Series,E1076,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,Drain the fuel filter to remove water. Inspect the fuel tank and lines for water contamination; replace fuel if contaminated. Test the water-in-fuel (WIF) sensor and wiring for faults; replace if defective. Reset the fault via the ECU diagnostic tool and restart. Consult the Weichai WP Series  or a technician if unresolved.[](s://dbdieselgenerator/generator-sets/typical-fault-codes-of-generator-sets.html),
Perkins,1100 Series,E1077,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,Test the MAP sensor with a multimeter for proper voltage and resistance; replace if defective. Inspect sensor wiring for shorts
Perkins,1100 Series,E1078,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,1100 Series,E1079,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,Test the ECT sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,1100 Series,E1080,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,Test the TPS with a multimeter for proper voltage (0–5V range); replace if defective. Inspect sensor wiring for shorts, opens
Perkins,1100 Series,E1081,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,1100 Series,E1082,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,Verify the electrical load for irregularities causing voltage spikes. Test the alternator voltage regulator for faults; replace if defective. Inspect alternator output cables for shorts to power. Reset the fault via the ECU diagnostic tool and restart. Consult the Weichai WP Series  or a technician if unresolved.,
Perkins,1100 Series,E1083,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,Reduce the electrical load if exceeding the generator’s rated capacity. Inspect alternator output cables for loose or damaged connections. Test the alternator voltage regulator and excitation circuit; replace if faulty. Check the alternator belt for slip or wear; adjust or replace. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.,,
Perkins,1100 Series,E1084,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,Test the fuel pump for operation; replace if no activity is detected. Inspect pump wiring and relay for shorts, opens
Perkins,1100 Series,E1085,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,triggering a shutdown.,
Perkins,1100 Series,E1086,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,Check the engine speed via the ECU diagnostic tool; ensure it meets nominal RPM (e.g., 1500 RPM for 50 Hz). Inspect the fuel system for restrictions
Perkins,1100 Series,E1087,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,1100 Series,E1088,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,Check load distribution across all phases; redistribute loads to balance them. Inspect alternator output cables for loose or damaged connections. Test phase voltages with a multimeter to confirm balance. Check alternator windings for faults. Reset the fault via the ECU diagnostic tool and restart. Consult the Weichai WP Series  or a certified technician if unresolved.,,
Perkins,1100 Series,E1089,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,Test the shutdown solenoid for operation; replace if defective. Inspect solenoid wiring for shorts, opens
Perkins,1100 Series,E1090,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,Test the fuel solenoid valve for operation; replace if defective. Inspect valve wiring for shorts, opens
Perkins,1100 Series,E1091,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,affecting cold starts.,,,
Perkins,1100 Series,E1092,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,Inspect the excitation circuit wiring for shorts, opens
Perkins,1100 Series,E1093,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,Inspect the exhaust system for restrictions (e.g., blocked muffler). Verify the cooling system is functioning correctly. Test the exhaust temperature sensor and wiring for faults; replace if defective. Check for over-fueling or excessive load. Reset the fault via the ECU diagnostic tool and restart. Consult the Weichai WP Series  or a technician if unresolved.,,
Perkins,1100 Series,E1094,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,Check the oil level; top up with the recommended oil (e.g., SAE 15W-40) if low. Inspect the oil cooling system for blockages or pump failure. Test the oil temperature sensor and wiring for faults; replace if defective. Ensure proper engine ventilation. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.
Perkins,1100 Series,E1095,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,Test the boost pressure sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens, or loose connections. Verify turbocharger operation and boost pressure ly if possible. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.
Perkins,1100 Series,E1096,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,Ensure proper ventilation around the control panel; clear blocked vents. Check for excessive ambient heat. Test the control panel cooling fan (if equipped) and wiring; replace if faulty. Relocate the generator if ambient conditions are too hot. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.,
Perkins,1100 Series,E1097,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,Reduce the electrical load by disconnecting non-essential appliances. Verify the load is within the generator’s rated capacity. Inspect alternator output cables for shorts or damage. Test the alternator for internal faults (e.g., shorted windings). Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.
Perkins,1100 Series,E1098,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,1100 Series,E1099,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,Test the fuel injectors with a diagnostic tool; replace any defective injectors. Inspect injector wiring for shorts
Perkins,1100 Series,E1100,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,Inspect the alternator cooling fan for operation; replace if defective. Check fan wiring for shorts
Perkins,1100 Series,E1101,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,Test the throttle actuator for proper operation; replace if defective. Inspect actuator wiring and control signals for shorts
Perkins,1100 Series,E1102,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,1100 Series,E1103,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,Check the control panel display connections for loose or damaged wiring. Verify the display power supply is within specifications (e.g., 12V or 24V). Test the display unit; replace if defective. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.
Perkins,1100 Series,E1104,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,Inspect the EGR valve for proper operation; clean or replace if stuck or defective. Test EGR valve wiring and control signals for faults; repair or replace as needed. Verify the EGR system for blockages. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.
Perkins,1100 Series,E1105,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,1100 Series,E1106,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,Test the shutdown solenoid for operation; replace if defective. Inspect solenoid wiring for shorts, opens
Perkins,1100 Series,E1107,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,Test the fuel solenoid valve for operation; replace if defective. Inspect valve wiring for shorts, opens
Perkins,1100 Series,E1108,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,1100 Series,E1109,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,Inspect the excitation circuit wiring for shorts, opens
Perkins,1100 Series,E1110,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,Inspect the exhaust system for restrictions (e.g., blocked muffler). Verify the cooling system is functioning correctly. Test the exhaust temperature sensor and wiring for faults; replace if defective. Check for over-fueling or excessive load. Reset the fault via the ECU diagnostic tool and restart. Consult the Weichai WP Series  or a technician if unresolved.,
Perkins,1100 Series,E1111,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,Check the oil level; top up with the recommended oil (e.g., SAE 15W-40) if low. Inspect the oil cooling system for blockages or pump failure. Test the oil temperature sensor and wiring for faults; replace if defective. Ensure proper engine ventilation. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.
Perkins,1100 Series,E1112,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,Test the boost pressure sensor with a multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts, opens
Perkins,1100 Series,E1113,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,Ensure proper ventilation around the control panel; clear blocked vents. Check for excessive ambient heat. Test the control panel cooling fan (if equipped) and wiring; replace if faulty. Relocate the generator if ambient conditions are too hot. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.,
Perkins,1100 Series,E1114,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
